Emotion,Statement
joy,passed b a exam parent allowed carry study m a happy
joy,travelling south brasil near end year well settled friend evening m somebody also u took purse pint colour u friend beach painted went beach champagne
shame,getting low mark mathematics
disgust,elder sister forced thing like do
fear,forgot line play orientation camp
joy,going concert
joy,finding glass lost town
guilt,sleeping crew practice one monday morning
sadness,death close relative
guilt,beeing able stay mother national day holiday
sadness,meet girl discotheque pretty happy turn up thank god friend able le good time
shame,playing urinated grandma s floor go lavatory cousin told grandma came
fear,friend s father died come see friend although know family
disgust,manager insists making crude innuendo pertaining sex
disgust,group youngster dressed fad talked foul language bus also insulted pedestrian road impolite passenger bus
anger,sometime ago felt angry mother wrote telling elder sister messing thing home internalised aggressive attitude towards parent husband
anger,told computer teacher want teach beacause prejudice
sadness,getting ill
joy,felt happy football pool
fear,get tube train without paying ticket
fear,afraid boyfriend came home parent disapproved coming home thought would chase house
disgust,felt dusgust self iterested person ruined life another mean utterly unfair method
anger,important basket ball match lot stake played badly
sadness,saw village come still pay money buy wife
sadness,grandmother died cancer
disgust,discovered mother affair father s best friend ran away without even speaking letting come home school simply find gone filled disgust contempt
disgust,child sometimes forced eat thing disgusted me
joy,received u e accredited totally unexpecting happy
anger,father failed send transport money closure school
joy,got first compound column
guilt,girl year married felt guilty relationship
disgust,read book situation south africa terrible violation human right disgusted white population
fear,slept short time woke feeling someone standing beside frightened turn light turn light several minute able get sleep again
fear,getting lost strange place
sadness,beginning year moved new city felt sad leave many friend family member behind
